id,name,sku,category,price,retail_price,covers_sqft,unit,description,image_url,is_sunburst_exclusive
p_3MTFPEMW_0,100% clear rubber sealant silicone,SB-CAT-100C-100,sealant,8.95,12.98,250,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_4TDQCBTX_1,2000 1 gallon ‘color’,SB-CAT-2000-101,paint,90.95,131.88,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_NG4DTLQW_2,2000 white - 1 gal,SB-CAT-2000-102,paint,65.95,95.63,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_WGMMMT53_3,2000 white - 5 gal,SB-CAT-2000-103,paint,329.75,478.14,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_BLT73SUO_4,3 inch brush tan,SB-CAT-3INC-104,brushes,4.5,6.52,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_G3Q6Q4YA_5,300 1 gallon,SB-CAT-3001-105,paint,38.95,56.48,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_EWDCYJY6_6,321 - 1gal,SB-CAT-3211-106,paint,45,65.25,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_KMHEANXE_7,321 - 5 gal,SB-CAT-3215-107,paint,194.75,282.39,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_V5SWRYOC_8,322 - 1 gal,SB-CAT-3221-108,paint,49.95,72.43,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_TB4K4SWV_9,322 - 5 gal,SB-CAT-3225-109,paint,225,326.25,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_AGLA5LMW_10,3inch angled nylon paint brush,SB-CAT-3INC-110,brushes,12.95,18.78,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_UP2QUUAW_11,3pc painting kit 9inch,SB-CAT-3PCP-111,paint,14.95,21.68,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_IZMQQUFM_12,3” Dynamic Solomon Brush,SB-CAT-3DYN-112,brushes,12.5,18.13,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_3ZGO32U4_13,4 inch brush,SB-CAT-4INC-113,brushes,6,8.7,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_6QBOSSSX_14,400 color - 1 gal,SB-CAT-400C-114,paint,50.95,73.88,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_RQZQ2VS6_15,400 color - 5 gal,SB-CAT-400C-115,paint,254.75,369.39,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_372OHNNM_16,400 white - 1gal,SB-CAT-400W-116,paint,45.95,66.63,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_YSI7HMO4_17,400 white - 5 gal,SB-CAT-400W-117,paint,185,268.25,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_LMVO7ATP_18,421 color - 1 gal,SB-CAT-421C-118,paint,55.95,81.13,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_KBASC6UR_19,421 color - 5 gal,SB-CAT-421C-119,paint,279.75,405.64,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_TPXWZDAW_20,422 - 1 gal,SB-CAT-4221-120,paint,65.95,95.63,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_NHPWRJPY_21,422 with color - 5 gal,SB-CAT-422W-121,paint,329.75,478.14,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_M7U4TT4C_22,423 - 1 gal,SB-CAT-4231-122,paint,75.95,110.13,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_R7NRJERH_23,423 with color - 5 gal,SB-CAT-423W-123,paint,350,507.5,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_P6BBMEML_24,423-1 use,SB-CAT-4231-124,paint,65.95,95.63,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_WFE4K4LT_25,4inch Roller Handle 05604,SB-CAT-4INC-125,brushes,9.5,13.78,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_64YNKKE5_26,5 gallon black flat,SB-CAT-5GAL-126,paint,240,348,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_YIGWNRRL_27,621,SB-CAT-621-127,paint,65.95,95.63,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_JNSVA5SZ_28,622,SB-CAT-622-128,paint,75.95,110.13,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_LNDQ4SXZ_29,622 5 gallon,SB-CAT-6225-129,paint,350,507.5,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_DA2AWDQG_30,821 - 1 gal,SB-CAT-8211-130,paint,68.95,99.98,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_NQEZMVYT_31,821- 5 gal,SB-CAT-8215-131,paint,344.75,499.89,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_NHHUMXCA_32,823 - 1 gal,SB-CAT-8231-132,paint,80,116,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_5QNUMA57_33,823- 5gal,SB-CAT-8235-133,paint,380,551,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_TQAS3NOD_34,900 color - 5 gal,SB-CAT-900C-134,paint,180,261,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_I2LXBPSI_35,900 white - 5 gal,SB-CAT-900W-135,paint,165,239.25,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_X3BBHHFO_36,900 ‘Color’ -1 gal,SB-CAT-900C-136,paint,40.95,59.38,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_ONE5OVQI_37,900 ‘white’ - 1 gal,SB-CAT-900W-137,paint,34.95,50.68,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_UKIOFCLM_38,Add colorant (per ounce),9640332,paint,3.5,5.08,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_LVQKUV6U_39,Add colorant 1 gallon,SB-CAT-ADDC-139,paint,10,14.5,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_BDTO7X3Z_40,Add colorant 5 gallon,SB-CAT-ADDC-140,paint,50,72.5,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_4BD4263H_41,Black Oil 5 gallon,SB-CAT-BLAC-141,stain,350,507.5,1500,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_S36HCYWG_42,Black-Oil,SB-CAT-BLAC-142,stain,68.95,99.98,300,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_O25IJZOQ_43,Cameo cream 1 gallon,SB-CAT-CAME-143,paint,47.19,68.43,400,gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_LIRML5SK_44,Cameo cream 5 gallon,SB-CAT-CAME-144,paint,150,217.5,2000,5 gallon,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_QN7EO7RU_45,Caulking (Case),SB-CAT-CAUL-145,brushes,89,129.05,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_VSRMZV3L_46,Caulking -Single,SB-CAT-CAUL-146,brushes,8.95,12.98,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_QCNTSOV3_47,Caulking gun,SB-CAT-CAUL-147,brushes,12.95,18.78,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_JO3NK5NR_48,Dynamic Foam Roller Refills 4”,SB-CAT-DYNA-148,brushes,4,5.8,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_MZGTEGFT_49,Dynamic Foam Roller refills 6.5”,SB-CAT-DYNA-149,brushes,12.5,18.13,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_TZJT4S7L_50,Dynamic Masking Tape 24mm,SB-CAT-DYNA-150,brushes,4,5.8,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_5QJAUJ6O_51,Dynamic Masking Tape 48mm,SB-CAT-DYNA-151,brushes,6,8.7,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
p_OMEK2CZD_52,Dynamic Microfiber 4” (2pk),SB-CAT-DYNA-152,brushes,7.95,11.53,0,piece,"Official Sunburst Paints certified industrial catalog item. Specially formulated for durability, premium flow, and professional-grade finish. Part of our Sunburst Paints and Coatings Ltd inventory.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=300&q=80,true
