id,name,theme,base_color,secondary_color,accent_style,neutral_tone,description,is_sunburst_exclusive,product_sku,created_at
c_csv_0_5853,Sunburst 001-1 Felicity,Twilight Lavender & Orchard,#F4E9EB,#F8F2F4,#9E9798,#FDFBFC,Professional coordinating Sunburst color palette featuring 001-1 Felicity. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-101,2026-06-10T18:33:15.853Z
c_csv_1_5853,Sunburst 001-2 Exotic Love,Twilight Lavender & Orchard,#F0E1E7,#F6EEF1,#9C9296,#FCFAFB,Professional coordinating Sunburst color palette featuring 001-2 Exotic Love. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-102,2026-06-10T18:33:15.853Z
c_csv_2_5853,Sunburst 001-3 Amore,Twilight Lavender & Orchard,#E9CEE0,#F2E4ED,#978591,#FBF7FA,Professional coordinating Sunburst color palette featuring 001-3 Amore. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-2000-103,2026-06-10T18:33:15.853Z
c_csv_3_5853,Sunburst 001-4 Francee,Twilight Lavender & Orchard,#D0ABCA,#E5D0E1,#876F83,#F7F2F7,Professional coordinating Sunburst color palette featuring 001-4 Francee. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3001-105,2026-06-10T18:33:15.853Z
c_csv_4_5853,Sunburst 001-5 Enchantress Eve,Twilight Lavender & Orchard,#A1759A,#CBB3C7,#684C64,#F0EAEF,Professional coordinating Sunburst color palette featuring 001-5 Enchantress Eve. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3211-106,2026-06-10T18:33:15.853Z
c_csv_5_5853,Sunburst 001-6 Fruit Punch,Twilight Lavender & Orchard,#6A495F,#AD9AA7,#442F3D,#E8E3E7,Professional coordinating Sunburst color palette featuring 001-6 Fruit Punch. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3215-107,2026-06-10T18:33:15.853Z
c_csv_6_5853,Sunburst 002-1 Soft Kiss,Twilight Lavender & Orchard,#F3EEEB,#F8F5F4,#9D9A98,#FDFCFC,Professional coordinating Sunburst color palette featuring 002-1 Soft Kiss. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3221-108,2026-06-10T18:33:15.853Z
c_csv_7_5853,Sunburst 002-2 Lavender Frost,Twilight Lavender & Orchard,#F0E2E8,#F6EFF2,#9C9296,#FCFAFB,Professional coordinating Sunburst color palette featuring 002-2 Lavender Frost. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3225-109,2026-06-10T18:33:15.853Z
c_csv_8_5853,Sunburst 002-3 Lavender Magic,Twilight Lavender & Orchard,#E9D2E6,#F2E6F1,#978895,#FBF8FB,Professional coordinating Sunburst color palette featuring 002-3 Lavender Magic. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-3PCP-111,2026-06-10T18:33:15.853Z
c_csv_9_5853,Sunburst 002-4 Lavender Splash,Twilight Lavender & Orchard,#E2C4E2,#EFDEEF,#927F92,#FAF6FA,Professional coordinating Sunburst color palette featuring 002-4 Lavender Splash. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400C-114,2026-06-10T18:33:15.853Z
c_csv_10_5853,Sunburst 002-5 Iris Legend,Twilight Lavender & Orchard,#BE9AC9,#DBC7E1,#7B6482,#F5EFF6,Professional coordinating Sunburst color palette featuring 002-5 Iris Legend. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400C-115,2026-06-10T18:33:15.853Z
c_csv_11_5853,Sunburst 002-6 Iris in the Wind,Twilight Lavender & Orchard,#694D70,#AC9DB0,#443248,#E8E4E9,Professional coordinating Sunburst color palette featuring 002-6 Iris in the Wind. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400W-116,2026-06-10T18:33:15.853Z
c_csv_12_5855,Sunburst 003-1 Slight Nuance,Twilight Lavender & Orchard,#ECE4E7,#F4F0F1,#999496,#FCFAFB,Professional coordinating Sunburst color palette featuring 003-1 Slight Nuance. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-400W-117,2026-06-10T18:33:15.855Z
c_csv_13_5855,Sunburst 003-2 Nice Natalie,Twilight Lavender & Orchard,#E2D0DD,#EFE5EC,#92878F,#FAF7F9,Professional coordinating Sunburst color palette featuring 003-2 Nice Natalie. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-421C-118,2026-06-10T18:33:15.855Z
c_csv_14_5855,Sunburst 003-3 Vanishing Violet,Twilight Lavender & Orchard,#D5BED2,#E7DBE6,#8A7B88,#F8F5F8,Professional coordinating Sunburst color palette featuring 003-3 Vanishing Violet. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-421C-119,2026-06-10T18:33:15.855Z
c_csv_15_5855,Sunburst 003-4 Rosenbury,Twilight Lavender & Orchard,#AC99B3,#D1C6D5,#6F6374,#F2EFF3,Professional coordinating Sunburst color palette featuring 003-4 Rosenbury. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4221-120,2026-06-10T18:33:15.855Z
c_csv_16_5855,Sunburst 003-5 Plush Plum,Twilight Lavender & Orchard,#917B96,#C2B6C5,#5E4F61,#EEEBEF,Professional coordinating Sunburst color palette featuring 003-5 Plush Plum. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-422W-121,2026-06-10T18:33:15.855Z
c_csv_17_5855,Sunburst 003-6 Purple Province,Twilight Lavender & Orchard,#5F4D60,#A79DA7,#3D323E,#E7E4E7,Professional coordinating Sunburst color palette featuring 003-6 Purple Province. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4231-122,2026-06-10T18:33:15.855Z
c_csv_18_5855,Sunburst 004-1 Purple Statice,Signature Palette,#ECDDE8,#F4ECF2,#998F96,#FCF9FB,Professional coordinating Sunburst color palette featuring 004-1 Purple Statice. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-423W-123,2026-06-10T18:33:15.855Z
c_csv_19_5855,Sunburst 004-2 Sweet Spring,Signature Palette,#E5D3E5,#F0E6F0,#948994,#FBF8FB,Professional coordinating Sunburst color palette featuring 004-2 Sweet Spring. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-4231-124,2026-06-10T18:33:15.855Z
c_csv_20_5855,Sunburst 004-3 Peaceful Princess,Signature Palette,#DAC2DE,#EADDEC,#8D7E90,#F9F5FA,Professional coordinating Sunburst color palette featuring 004-3 Peaceful Princess. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-5GAL-126,2026-06-10T18:33:15.855Z
c_csv_21_5855,Sunburst 004-4 Poetic Purple,Signature Palette,#C7AED1,#E0D2E5,#817187,#F6F2F8,Professional coordinating Sunburst color palette featuring 004-4 Poetic Purple. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-621-127,2026-06-10T18:33:15.855Z
c_csv_22_5855,Sunburst 004-5 Whispering Wisteria,Signature Palette,#A083AD,#CABAD1,#685570,#F0ECF2,Professional coordinating Sunburst color palette featuring 004-5 Whispering Wisteria. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-622-128,2026-06-10T18:33:15.855Z
c_csv_23_5855,Sunburst 004-6 Ultra Violet,Signature Palette,#604767,#A799AB,#3E2E42,#E7E3E8,Professional coordinating Sunburst color palette featuring 004-6 Ultra Violet. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-6225-129,2026-06-10T18:33:15.855Z
c_csv_24_5855,Sunburst 005-1 Lavender Falls,Signature Palette,#F2EBEB,#F7F4F4,#9D9898,#FDFCFC,Professional coordinating Sunburst color palette featuring 005-1 Lavender Falls. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-8211-130,2026-06-10T18:33:15.855Z
c_csv_25_5855,Sunburst 005-2 Pearl Blush,Signature Palette,#EADFEA,#F3EDF3,#989098,#FBFAFB,Professional coordinating Sunburst color palette featuring 005-2 Pearl Blush. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-8215-131,2026-06-10T18:33:15.855Z
c_csv_26_5855,Sunburst 005-3 Play girl,Signature Palette,#E4D3E8,#F0E6F2,#948996,#FAF8FB,Professional coordinating Sunburst color palette featuring 005-3 Play girl. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-8231-132,2026-06-10T18:33:15.855Z
c_csv_27_5855,Sunburst 005-4 Promise of Spring,Signature Palette,#C5B2D9,#DFD4EA,#80738D,#F6F3F9,Professional coordinating Sunburst color palette featuring 005-4 Promise of Spring. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-8235-133,2026-06-10T18:33:15.855Z
c_csv_28_5855,Sunburst 005-5 Wisteria Way,Signature Palette,#9178B1,#C2B4D4,#5E4E73,#EEEAF3,Professional coordinating Sunburst color palette featuring 005-5 Wisteria Way. Backed fully by Sunburst paints warranty protocols. Formulated for continuous coverage.,true,SB-CAT-900C-134,2026-06-10T18:33:15.855Z
